Covidence #,DOI,Title,Authors,Published Year,Journal,Purpose,Vascular Disease/Procedure,Data Source,Period Start,Period end,Ground Truth,Image Type,Input,Output,Sample Size,Event Size,CV Architecture,Explainability?,Validation Method,Train/Test/Validate,Outcomes,External Validation Outcomes,Participants,Predictors,Outcomes_probast,Analysis,Overall,"Title (prediction, population, outcome)","Abstract  (objectives, design, predictors, outcome, stats, results)",Background (rationale),Objectives,Data (Source),Data (Dates),Participants (setting),Participants (eligibility),Paritcipants (treatments),Data Preparation (similar/diff b/w groups?),"Outcome (definition, timing)",Outcome (subjective),Outcome (blind),Analysis (use: eval of model performance?),Analysis (predictors handling: transforms etc.),"Analysis (model rationale, hyperparam)",Analysis (heterogeneity),Analysis (measures and plots),Analysis (model updating),Analysis (predictions calculation),Class Imbalance methods,Fairness,"Model Output (if classification, what threshold ID?)","Model specification (how to use, differences for healthcare)","Particiapants (number of participants with/without outcome, follow-up, ?diagram)","Participants (characteristics, number with missing data)","Model development (# of participants, event rate)","Model specification (formula, code, program)","Model performance (CI,)",Model updating (results),Interpretation,Limitations,Usability (poor input),Usability (interaction/expertise),Usability (future steps),Ethical approval,Funding,Conflicts of Intereset,Protocol,Registration,Data sharing,Code sharing,Patient and Public involvement,,,,,,,
#196,https://dx.doi.org/10.3934/mbe.2024138,A self-supervised fusion network for carotid plaque ultrasound image classification.,"Zhang, Yue; Gan, Haitao; Wang, Furong; Cheng, Xinyao; Wu, Xiaoyan; Yan, Jiaxuan; Yang, Zhi; Zhou, Ran",2024,Mathematical biosciences and engineering : MBE,Diagnosis,Carotid stenosis,Retrospective (single),NR,NR,Clinical expert,US,Carotid plaque U/S,"Classification: hyperechoic plaque, hypoechoic, mixed",844 (1270 images),,"fusion network+ResNet, self-supervised learning (not all data labelled)",0,NR,80/20,"AUROC=0.95, precision=0.905",0,l,l,l,l,l,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#215,https://dx.doi.org/10.1016/j.diabres.2023.111032,A novel approach for diabetic foot diagnosis: Deep learning-based detection of lower extremity arterial stenosis.,"Wu, Chongxin; Xu, Changpeng; Ou, Shuanji; Wu, Xiaodong; Guo, Jing; Qi, Yong; Cai, Shuting",2024,Diabetes research and clinical practice,Diagnosis,Diabetic Foot,Retrospective,2022,2021,Radiologist,CT,CT of leg,"Classification: degree of stenosis =  I (0-50), II (51-99), III (100%)",460,N/A,YOLOv5 (detection),0,NR,70/20/10,precision=0.854,0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#226,https://dx.doi.org/10.1109/TUFFC.2023.3345740,Automatic Diagnosis of Carotid Atherosclerosis Using a Portable Freehand 3-D Ultrasound Imaging System.,"Li, Jiawen; Huang, Yunqian; Song, Sheng; Chen, Hongbo; Shi, Junni; Xu, Duo; Zhang, Haibin; Chen, Man; Zheng, Rui",2024,"IEEE transactions on ultrasonics, ferroelectrics, and frequency control",Segmentation->Diagnosis,Carotid stenosis,Prospective (single),NR,NR,Physician team,US,US of carotid,Segmentation or carotid. Classification (disease or healthy),137,N/A,"Segmetation: Unet,Classificaiton: CNN",0,NR,63/20/17,"Segmentation: DC=0.95, HD=2.68. Diagnosis: Sens=0.71, spec=0.85, acc=0.80",0,u,l,l,l,u,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#227,https://dx.doi.org/10.1109/EMBC40787.2023.10340126,Application of StyleGAN Architecture for Generating Venous Leg Ulcer Images.,"Hresko, David J; Ngo, Quoc C; Ogrin, Rajna; Drotar, Peter; Ekinci, Elif; Tint, Aye N; Kumar, Dinesh K",2023,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Synthetic images,Leg ulcer (venous),Retrospective (single),NR,NR,Endocrinologists,Skin images,Images of ulcers,Generated additional ulcer images,264,N/A,Generative adversarial network,0,NR,0,Experts tried to distinguish real and synthetic images: 0.71 score,0,u,h,h,h,h,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,,,,,,,
#229,https://dx.doi.org/10.1016/j.cmpb.2023.107957,An image registration-based self-supervised Su-Net for carotid plaque ultrasound image segmentation.,"Ding, Jing; Zhou, Ran; Fang, Xiaoyue; Wang, Furong; Wang, Ji; Gan, Haitao; Fenster, Aaron",2024,Computer methods and programs in biomedicine,Segmentation,Carotid stenosis,Public,NR,NR,Public ,US,Carotid US (longitudinal),Segmentation of carotid artery,144 (506 images),N/A,Unet,0,10-fold cross validation,70/30,DC=0.85,1,u,l,l,h,h,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,,,,,,,
#230,https://dx.doi.org/10.1109/EMBC40787.2023.10340577,A Space-Refine Paradigm for Automatic Carotid Artery Centerline Extraction in Magnetic Resonance Imaging.,"Zhang, Pu; Xin, Jingmin; Wu, Jiayi; Zheng, Nanning",2023,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Segmentation (vessel centerline),Carotid stenosis,Public,NR,NR,Public ,MRI,MRI (axial),Vessel Centerline extraction of carotid artery,1055,N/A,Cascade R-CNN,0,NR,1980-10-10,"f1=0.9825, precision=0.9831, recall=0.9818",0,h,l,l,h,h,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,,,,,,,
#231,https://dx.doi.org/10.1016/j.avsg.2023.08.027,Development of an Artificial Intelligence Tool for Intraoperative Guidance During Endovascular Abdominal Aortic Aneurysm Repair.,"Li, Allen; Javidan, Arshia P; Namazi, Babak; Madani, Amin; Forbes, Thomas L",2024,Annals of vascular surgery,Segmentation (inappropriate landing zones),AAA (EVAR),Retrospective ,2015,2020,Physician team,DSA,DSA of infrafranl EVAR,No go zones (b/w renal arteries) for EVAR,110 (369 images),,Unet,0,10-fold cross validation,,"IoU=0.43, f1=0.53, acc=0.97, sens=0.51, spec=0.99, npv=0.99, ppv=0.62",1,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#250,https://dx.doi.org/10.1016/j.avsg.2023.06.018,Accelerated Measurement of Carotid Plaque Volume Using Artificial Intelligence Enhanced 3D Ultrasound.,"Phair, Alison Shirley; Carreira, Joao; Bowling, Frank Lee; Ghosh, Jonathan; Smith, Craig; Rogers, Steven Kristofor",2024,Annals of vascular surgery,Quantification (plaque volume),Carotid stenosis,Prospective (single),NR,NR,Measurements of carotid plaque (total plaque length and bifurcation lengths) following endarterectomy,US,Carotid 3D US,Carotid plaque volume,121,N/A,"Software",0,NR,NR,"Time reduction=0.43, mean relative difference = 0.10",0,l,l,h,h,h,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#255,https://dx.doi.org/10.1016/j.diabres.2023.110951,Artificial intelligence for automated detection of diabetic foot ulcers: A real-world proof-of-concept clinical evaluation.,"Cassidy, Bill; Hoon Yap, Moi; Pappachan, Joseph M; Ahmad, Naseer; Haycocks, Samantha; O'Shea, Claire; Fernandez, Cornelious J; Chacko, Elias; Jacob, Koshy; Reeves, Neil D",2023,Diabetes research and clinical practice,Diagnosis,Diabetic Foot,Retrospective (multi),2020,2021,"Physician team: podiatrists, surgeons, and consultants",Skin images,Images of ulcers ,Classification: presence or absence of ulcer,81 (203 images),162,ResNet + R-CNN,0,NR,NR,"sens=0.9157, spec=0.8857",0,l,l,l,h,h,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,,,,,,,
#257,https://dx.doi.org/10.1016/j.ultras.2023.107193,Lumen segmentation using a Mask R-CNN in carotid arteries with stenotic atherosclerotic plaque.,"Kiernan, Maxwell J; Al Mukaddim, Rashid; Mitchell, Carol C; Maybock, Jenna; Wilbrand, Stephanie M; Dempsey, Robert J; Varghese, Tomy",2024,Ultrasonics,Detection + Segmentation,Carotid stenosis,Public,NR,NR,Sonographer,US,B-mode US of Carotid,Bounding box + segmentation,101 (891 images),,R-CNN,0,NR,81/10/9',Bounding box: IoU=0.81. Segmentation: IoU=0.75,0,h,l,l,h,h,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,,,,,,,
#262,https://dx.doi.org/10.1002/advs.202301277,Deep Learning Enhanced Volumetric Photoacoustic Imaging of Vasculature in Human.,"Zheng, Wenhan; Zhang, Huijuan; Huang, Chuqin; Shijo, Varun; Xu, Chenhan; Xu, Wenyao; Xia, Jun",2023,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Segmentation,General (vasccular dz: foot ulcer but also breast Ca cases),Other Uni datasets (chronic foot ulcer and Breast Ca dataset),NR,NR,Dataset,Photoacoustic imaging,Photoacoustic imaging of vasculature,Vasculature segmentation,N/A (several different datasets),,3D fully dense U-net,0,NR,80/20',Not well recorded,1,u,l,l,h,h,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,,,,,,,
#268,https://dx.doi.org/10.1148/radiol.230681,Generative Adversarial Network-based Noncontrast CT Angiography for Aorta and Carotid Arteries.,"Lyu, Jinhao; Fu, Ying; Yang, Mingliang; Xiong, Yongqin; Duan, Qi; Duan, Caohui; Wang, Xueyang; Xing, Xinbo; Zhang, Dong; Lin, Jiaji; Luo, Chuncai; Ma, Xiaoxiao; Bian, Xiangbing; Hu, Jianxing; Li, Chenxi; Huang, Jiayu; Zhang, Wei; Zhang, Yue; Su, Sulian; Lou, Xin",2023,Radiology,Synthetic images,Aortic disease and carotid stenosis ,Retrospective (single),2018,2022,Radiologist (3 point scale for image quality + diagnosis from real CTA),NCCT,Non-contrast CT of neck and abdomen,CT image that appears to have contrast. They want to make CTA like images from NCCT images (avoid contrast). Compare the synthetic CTA to real ones. Compare radiologist dx with both as well,1749,N/A,Generative adversarial network,,NR,65/12/22',"MAE=0.0.011, similarity=0.919, dx acc=0.94, f1=0.91",1,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#272,https://dx.doi.org/10.3390/s23208511,Diabetic Plantar Foot Segmentation in Active Thermography Using a Two-Stage Adaptive Gamma Transform and a Deep Neural Network.,"Cao, Zhenjie; Zeng, Zhi; Xie, Jinfang; Zhai, Hao; Yin, Ying; Ma, Yue; Tian, Yibin",2023,"Sensors (Basel, Switzerland)",Segmentation,Diabetic Foot,Prospective (single),NR,NR,NR?,Infrared,Infrared of feet,Semgnetation of ulcerated area,22 (13200 images),10,U-net,0,NR,85/10/5',"IoU=0.973, DC=0.954",0,l,l,h,h,h,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,,,,,,,
#277,https://dx.doi.org/10.1088/1361-6560/acfec7,Deep learning-based multi-stage postoperative type-b aortic dissection segmentation using global-local fusion learning.,"Zhang, Xuyang; Cheng, Guoliang; Han, Xiaofeng; Li, Shilong; Xiong, Jiang; Wu, Ziheng; Zhang, Hongkun; Chen, Duanduan",2023,Physics in medicine and biology,Segmentation,Type B Aortic Dissection,Retrospective (multi),2015,2022,NR?,CT,Axial CT of aorta,"Segmentation of True+false lumen, thrombuc and blood vessels. First segment lumen, TH and BV. Then straighten aorta. Then get true and false lumen",133 (306 images),N/A,"mod U-net",0,4-fold cross validation,62.5/12.5/25,DC=0.8945,0,l,l,u,l,u,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#280,https://dx.doi.org/10.1016/j.compmedimag.2023.102295,HViT: Hybrid vision inspired transformer for the assessment of carotid artery plaque by addressing the cross-modality domain adaptation problem in MRI.,"Ayoub, Muhammad; Liao, Zhifang; Li, Lifeng; Wong, Kelvin K L",2023,Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,Diagnosis,Carotid stenosis,Retrospective (multi),NR,NR,2 radiologists,MRI,MRI of carotids,Classification: degree of carotid plaque (stable or vulnerable),355,166,"CNN",,3-fold cross validation,NR,acc=0.9432,0,l,l,l,l,l,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#282,https://dx.doi.org/10.1016/j.ejrad.2023.111067,Validation of an AI-based algorithm for measurement of the thoracic aortic diameter in low-dose chest CT.,"Hamelink, I Iris; de Heide, E Erik Jan; Pelgrim, G J Gert Jan; Kwee, T C Thomas; van Ooijen, P M A Peter; de Bock, G H Truuske; Vliegenthart, R Rozemarijn",2023,European journal of radiology,Quantification (get aortic diam),"Aorta (thoracic), aortic aneurysm",Public,2017,2022,Radiologist,NCCT,NCCT axial of aorta,The aortic diameter at the 9 different thoracic aorta regions,240,N/A,"Software",0,N/A (software already trained),N/A (software already trained),MAE = 4.0 mm,0,l,l,u,u,u,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,,,,,,,
#290,https://dx.doi.org/10.1088/2057-1976/acf3ed,Deep-learning-based image segmentation for image-based computational hemodynamic analysis of abdominal aortic aneurysms: a comparison study.,"Lyu, Zonghan; King, Kristin; Rezaeitaleshmahalleh, Mostafa; Pienta, Drew; Mu, Nan; Zhao, Chen; Zhou, Weihua; Jiang, Jingfeng",2023,Biomedical physics & engineering express,Segmentation,AAA,Retrospective (single),NR,NR,Surgeon + cardiologist,CTA,CTA of aorta,Semgnetation of ulcerated area,30,N/A,mod Unet,0,NR,67/33,"DC=0.916, time reduced = 0.08%",0,u,l,l,h,h,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,,,,,,,
#301,https://dx.doi.org/10.1007/s10278-023-00866-1,Artificial Intelligence Application to Screen Abdominal Aortic Aneurysm Using Computed tomography Angiography.,"Spinella, Giovanni; Fantazzini, Alice; Finotello, Alice; Vincenzi, Elena; Boschetti, Gian Antonio; Brutti, Francesca; Magliocco, Marco; Pane, Bianca; Basso, Curzio; Conti, Michele",2023,Journal of digital imaging,Segmentation,AAA,Retrospective (single),2014,2020,NR (segmented by expert),CTA,CTA of aorta,"Segmentation of aorta lumen + thrombus. Followed by centerline and max aortic diam calc (if > 30 mm, it's a AAA)",73,48,Segmentation: Unet. ,0,NR,87/7/6',"Segmentation: MAE=1.3 mm. Diagonsis: acc=0.97, sens=0.98, spec=0.96",0,l,l,u,l,u,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#304,https://dx.doi.org/10.1186/s41747-023-00342-z,Deep learning-aided extraction of outer aortic surface from CT angiography scans of patients with Stanford type B aortic dissection.,"Kesavuori, Risto; Kaseva, Tuomas; Salli, Eero; Raivio, Peter; Savolainen, Sauli; Kangasniemi, Marko",2023,European radiology experimental,Segmentation,Type B Aortic Dissection,Retrospective (single),2007,2019,Radiologist (80) + semi-automatic CNN (126),CTA,CTA of aorta,Segmentation of aorta,240,206,Unet (2d and 3d),0,NR,66/14/20,"normalized surface dice=0.92, DC=0.96, time reduction=0.50",0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,,,,,,,
#307,https://dx.doi.org/10.1007/s11548-023-02979-y,An automated screening model for aortic emergencies using convolutional neural networks and cropped computed tomography angiography images of the aorta.,"Wada, Tomoki; Takahashi, Masamichi; Matsunaga, Hiroki; Kawai, Go; Kaneshima, Risa; Machida, Munetaka; Fujita, Nana; Matsuoka, Yujiro",2023,International journal of computer assisted radiology and surgery,Diagnosis,Aortic disease (dissection + rupture),Retrospective (single),2015,2021,Radiologist,CTA,CTA axial for aorta,Classification: presence or absence of aortic disease,436,220,"Detection: VGG16C,Classification: Deep CNN",,5-fold cross validation,70/30,AUC=0.98 ,0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,
#313,https://dx.doi.org/10.1364/OL.489480,Deep-learning-based 3D blood flow reconstruction in transmissive laser speckle imaging.,"Chen, Ruoyu; Tong, Shanbao; Miao, Peng",2023,Optics letters,Segmentation,General (vessel segmentation),Simulated dataset,N/A,N/A,Simulated,Laser speckle imaging,Phantom/simulated laser speckle images of vessels,Segmented vessel,20000,N/A,Unet,0,NR,70/30,"DC=0.74, RMSE=0.56mm",0,h,u,u,h,h,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,,,,,,,
#323,https://dx.doi.org/10.1016/j.ejvsvf.2023.05.001,Automatic Detection of Visceral Arterial Aneurysms on Computed Tomography Angiography Using Artificial Intelligence Based Segmentation of the Vascular System.,"Lareyre, Fabien; Caradu, Caroline; Chaudhuri, Arindam; Le, Cong Duy; Di Lorenzo, Gilles; Adam, Cedric; Carrier, Marion; Raffort, Juliette",2023,EJVES vascular forum,Diagnosis,Visceral arterial aneurysms,Retrospective (multi),NR,NR,2 experts,CTA,"CTA of viscera (SMA, celiac, renal, etc.)",Segmentation of vascular tree -> diameters -> Classification: presence of VAA,33,NR,CNN,0,NR,NR,"sens=0.93, PPV=0.51, t=30s",0,h,l,h,h,h,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
#324,https://dx.doi.org/10.3390/diagnostics13121983,Deep Learning-Based Classification and Feature Extraction for Predicting Pathogenesis of Foot Ulcers in Patients with Diabetes.,"Sathya Preiya, V; Kumar, V D Ambeth",2023,"Diagnostics (Basel, Switzerland)",Diagnosis,Diabetic Foot,Public,NR,NR,Public ,Skin images,Skin images of feet,Classification: disease (normal or ulcer),1017,543,Unet,0,NR,70/30,Acc=0.9932,0,u,l,l,h,h,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,,,,,,,
#325,https://dx.doi.org/10.3390/jimaging9060123,Segmentation of 4D Flow MRI: Comparison between 3D Deep Learning and Velocity-Based Level Sets.,"Barrera-Naranjo, Armando; Marin-Castrillon, Diana M; Decourselle, Thomas; Lin, Siyu; Leclerc, Sarah; Morgant, Marie-Catherine; Bernard, Chloe; De Oliveira, Shirley; Boucher, Arnaud; Presles, Benoit; Bouchot, Olivier; Christophe, Jean-Joseph; Lalande, Alain",2023,Journal of imaging,Segmentation,Thoracic aortic aneurysm,Prospective  ,N/A,N/A,2 cardiac image analysts,MRI,4D flow MRI,Segmentation of aorta (vaslsalva sinus to abdo aorta),36,N/A,"Ensemble: Unet, Level Set",0,leave-one-out,97/3',"DC=0.92, HD=21.5",0,l,l,l,l,l,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#330,https://dx.doi.org/10.1016/j.patter.2023.100727,ADSeg: A flap-attention-based deep learning approach for aortic dissection segmentation.,"Xiang, Dongqiao; Qi, Jiyang; Wen, Yiqing; Zhao, Hui; Zhang, Xiaolin; Qin, Jia; Ma, Xiaomeng; Ren, Yaguang; Hu, Hongyao; Liu, Wenyu; Yang, Fan; Zhao, Huangxuan; Wang, Xinggang; Zheng, Chuansheng",2023,"Patterns (New York, N.Y.)",Segmentation,Type B Aortic Dissection,Retrospective (multi),2010,2020,Radiologist (segment,CTA,CTA axial for aorta,Segmentation of true and false lumen and branches of aortic dissection,108,N/A,Unet + flap-attention-based deep learning,,4-fold cross validation,63/37,"DC=0.902, boundary distance=1.73 mm",0,l,l,l,l,l,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,,,,,,,
#337,https://dx.doi.org/10.3389/fcvm.2023.1101765,Stroke risk study based on deep learning-based magnetic resonance imaging carotid plaque automatic segmentation algorithm.,"Chen, Ya-Fang; Chen, Zhen-Jie; Lin, You-Yu; Lin, Zhi-Qiang; Chen, Chun-Nuan; Yang, Mei-Li; Zhang, Jin-Yin; Li, Yuan-Zhe; Wang, Yi; Huang, Yin-Hui",2023,Frontiers in cardiovascular medicine,Segmentation,Carotid stenosis,Retrospective (single),NR,NR,NR,MRI,MRI of carotids,"Segmentation of carotid plaque: necrotic, calcification, loose matrix, fibrous tissue",265,116,"Ensemble: YOLOv3, RCNN, MobileNet",0,NR,70/30,acc=0.9481,0,l,l,l,h,h,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#340,https://dx.doi.org/10.3389/fneur.2023.1111906,Stroke risk prediction by color Doppler ultrasound of carotid artery-based deep learning using Inception V3 and VGG-16.,"Su, Shan-Shan; Li, Li-Ya; Wang, Yi; Li, Yuan-Zhe",2023,Frontiers in neurology,Diagnosis,Carotid stenosis,Retrospective (single),NR,NR,NR,Color Doppler US,Color Doppler US of carotid longitudinal,Classification: high-risk plaque and stable plaque,87 (460 images),230,"Ensemble: Inceptionv3, VGG-16, ResNet",0,NR,70/30,acc=0.9381,0,l,l,h,l,h,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,,,,,,,
#357,https://dx.doi.org/10.1371/journal.pdig.0000344,Automatic foot ulcer segmentation using conditional generative adversarial network (AFSegGAN): A wound management system.,"P, Jishnu; B K, Shreyamsha Kumar; Jayaraman, Srinivasan",2023,PLOS digital health,Segmentation,Diabetic foot,Public,NR,NR,Public ,Skin images,Skin images of feet,Semgented ulcer,1488,N/A,Generative adversarial network + Unet,0,NR,70/15/15,"DC=0.9311, IoU=0.9907",0,u,l,l,h,h,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
#358,https://dx.doi.org/10.1117/1.JMI.10.5.051810,Fully automated pipeline for measurement of the thoracic aorta using joint segmentation and localization neural network.,"Katakol, Sudeep; Baker, Timothy J; Bian, Zhangxing; Lu, Yanglong; Spahlinger, Greg; Hatt, Charles R; Burris, Nicholas S",2023,"Journal of medical imaging (Bellingham, Wash.)",Segmentation + Quantification,"Aorta (thoracic), aortic aneurysm",Retrospective (single),NR,NR,3 experts,CTA,CTA of aorta (sagittal),Aorta segmentation + localization of 6 key zones -> diameter at these 6 zones,67 (272 images),N/A,Unet,1 (heatmap),NR,80/20,MAE=2.0 mm,0,h,l,l,h,h,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#359,https://dx.doi.org/10.3390/bioengineering10101217,"Development of a Three-Dimensional Carotid Ultrasound Image Segmentation Workflow for Improved Efficiency, Reproducibility and Accuracy in Measuring Vessel Wall and Plaque Volume and Thickness.","Zhao, Yuan; Jiang, Mingjie; Chan, Wai Sum; Chiu, Bernard",2023,"Bioengineering (Basel, Switzerland)",Segmentation,Carotid stenosis,Prospective,NR,NR,1 expert,3D US,3D US of ICA from bifurcation,Segmentation of LIB and MAB for ICA,84,N/A,Unet,0,NR,50/25/25,Ambiguous,0,h,l,l,u,h,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,,,,,,,
#374,https://dx.doi.org/10.3390/diagnostics13162637,Automatic Diabetic Foot Ulcer Recognition Using Multi-Level Thermographic Image Data.,"Khosa, Ikramullah; Raza, Awais; Anjum, Mohd; Ahmad, Waseem; Shahab, Sana",2023,"Diagnostics (Basel, Switzerland)",Diagnosis,Diabetic Foot,Public,2012,2014,Public ,Thermograph,Foot thermograms,Classification: disease (DM or not),167 (334 images),122,"Ensemble: SVM, RF, kNN, Bayes, XGBoost, AdaBoost, Bagging, ResNet, DenseNet, CNN",,K-fold cross validation,80/20,"AUC=0.8533, acc=0.97",0,h,l,l,l,h,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,,,,,,,
